stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,coordonnees_geo,nom_arrondissement_communes,code_insee_commune,station_opening_hours
32304,Charcot - Benfleet,OUI,28,23,4,1,3,OUI,OUI,2026-02-07T22:04:32+00:00,"{'lon': 2.440523876268, 'lat': 48.878370277021}",Romainville,93063,
16107,Benjamin Godard - Victor Hugo,OUI,35,30,4,0,4,OUI,OUI,2026-02-07T22:03:44+00:00,"{'lon': 2.275725, 'lat': 48.865983}",Paris,75056,
14111,Cassini - Denfert-Rochereau,OUI,25,14,10,3,7,OUI,OUI,2026-02-07T22:02:36+00:00,"{'lon': 2.3360354080796, 'lat': 48.837525839067}",Paris,75056,
40001,Hôpital Mondor,OUI,28,18,10,6,4,OUI,OUI,2026-02-07T22:02:44+00:00,"{'lon': 2.4537451531298, 'lat': 48.798922410229}",Créteil,94028,
14014,Jourdan - Stade Charléty,OUI,60,53,6,0,6,OUI,OUI,2026-02-07T22:02:48+00:00,"{'lon': 2.3433353751898, 'lat': 48.819428333369}",Paris,75056,
9020,Toudouze - Clauzel,OUI,21,11,9,0,9,OUI,OUI,2026-02-07T22:04:27+00:00,"{'lon': 2.3373600840568547, 'lat': 48.87929591733507}",Paris,75056,
11104,Charonne - Robert et Sonia Delaunay,OUI,20,16,4,2,2,OUI,OUI,2026-02-07T22:04:43+00:00,"{'lon': 2.3925706744194, 'lat': 48.855907555969}",Paris,75056,
32017,Basilique,OUI,22,14,8,3,5,OUI,OUI,2026-02-07T22:03:29+00:00,"{'lon': 2.3588666820200914, 'lat': 48.93626891059109}",Saint-Denis,93066,
8026,Messine - Place Du Pérou,OUI,12,2,9,3,6,OUI,OUI,2026-02-07T22:04:45+00:00,"{'lon': 2.315508019010038, 'lat': 48.875448033960744}",Paris,75056,
6003,Saint-Sulpice,OUI,21,6,14,12,2,OUI,OUI,2026-02-07T22:01:15+00:00,"{'lon': 2.3308077827095985, 'lat': 48.85165383178419}",Paris,75056,
7002,Vaneau - Sèvres,OUI,35,14,19,15,4,OUI,OUI,2026-02-07T22:03:28+00:00,"{'lon': 2.3204218259346, 'lat': 48.848563233059}",Paris,75056,
